adduct_name,adduct_mass,adduct_charge,adduct_swisslipids_name,adduct_swisslipids_abbrev,adduct_lipidmaps_name
+H+,1.007276452290799984,1,[M+H]+,MassMH,M+H
+2H+,2.014552904581599968,2,,,M+2H
+Na+,22.989218700091001324,1,[M+Na]+,MassMNa,M+Na
+NH4+,18.033825552890998978,1,[M+NH4]+,MassMNH4,M+NH4
+[39]K+,38.963157910090998826,1,[M+K]+,MassMK,M+K
+[7]Li+,7.0154548600908004374,1,[M+Li]+,MassMLi,M+Li
+[6]Li+,6.0145743070908004313,1,,,
-H+,-1.007276452290799984,-1,[M-H]-,MassMmH,M-H
-2H+,-2.014552904581599968,-2,,,M-2H
-3H+,-3.021829356872399952,-3,,,M-3H
+H+ -H2O,-17.003288232108999978,1,,,M+H-H2O
+CH3COO-,59.013852916509002,-1,[M+OAc]-,MassMOAc,M+OAc
+HCOO-,44.998202852109002947,-1,,,M+HCOO-
+[35]Cl-,34.96940127990900038,-1,[M+Cl]-,MassMCl,M+Cl
+[37]Cl-,36.966451179909000757,-1,,,
+CH3OCOO-,75.008767536508997864,-1,,,
-H+CH3COOH,59.013852916509002,-1,,,
-H+CH3COONa,80.99579516430900128,-1,,,
-H+HCOOH,44.998202852109002947,-1,,,
-H+HCOONa,66.98014509990899512,-1,,,
-H+SO3-,78.949538581709006735,-1,,,
+F-,18.99895173990899977,-1,,,
+C3D9,52.11074435769099722,1,,,
+C2D6,35.07625505589099646,1,,,
+CD3,18.041765754090999252,1,,,
+C4D12,69.14523365949099798,1,,,
